barangay_id,barangay_name,crop_id,crop_name,year,season,total_yield,total_area_planted_ha,yield_per_hectare,avg_price_per_kg,expected_revenue
1,Bancal,1,Rice,2021,wet,25.75,5.31,4.85,31.031666666666666,150.50358333333332
1,Bancal,1,Rice,2021,dry,70.42,12.34,5.71,25.161666666666665,143.67311666666666
1,Bancal,2,Tomato,2021,dry,71.4,11.58,6.17,42.80833333333333,264.12741666666665
1,Bancal,2,Tomato,2021,wet,55.66,12.67,4.39,31.453333333333333,138.08013333333332
1,Bancal,3,Corn,2021,wet,85.03,20.34,4.18,26.026666666666667,108.79146666666666
1,Bancal,3,Corn,2021,dry,119.87,18.35,6.53,22.518333333333334,147.0447166666667
1,Bancal,4,Onion,2021,dry,105.55,21.47,4.92,30.293333333333333,149.04319999999998
1,Bancal,4,Onion,2021,wet,107.79,17.42,6.19,33.12,205.0128
1,Bancal,5,Eggplant,2021,wet,49.02,10.4,4.71,52.33166666666666,246.48215
1,Bancal,5,Eggplant,2021,dry,42.63,12.18,3.5,46.795,163.7825
2,Jose Abad Santos (Siran),1,Rice,2021,wet,48.51,5.95,8.15,30.651666666666667,249.81108333333336
2,Jose Abad Santos (Siran),1,Rice,2021,dry,63.74,9.11,7.0,28.846666666666668,201.92666666666668
2,Jose Abad Santos (Siran),2,Tomato,2021,wet,19.98,6.69,2.99,54.02333333333333,161.5297666666667
2,Jose Abad Santos (Siran),2,Tomato,2021,dry,22.36,4.66,4.8,39.803333333333335,191.056
2,Jose Abad Santos (Siran),3,Corn,2021,dry,105.02,21.43,4.9,27.42,134.358
2,Jose Abad Santos (Siran),3,Corn,2021,wet,33.63,5.89,5.71,23.293333333333333,133.00493333333333
2,Jose Abad Santos (Siran),4,Onion,2021,wet,88.37,12.2,7.24,49.31333333333333,357.0285333333333
2,Jose Abad Santos (Siran),4,Onion,2021,dry,20.22,6.48,3.12,44.52333333333333,138.9128
2,Jose Abad Santos (Siran),5,Eggplant,2021,dry,49.5,13.58,3.65,41.765,152.44225
2,Jose Abad Santos (Siran),5,Eggplant,2021,wet,47.4,8.32,5.7,55.94833333333333,318.9055
3,Lambac,1,Rice,2021,wet,116.9,21.7,5.39,34.87166666666667,187.95828333333333
3,Lambac,1,Rice,2021,dry,65.78,14.67,4.48,32.92,147.48160000000001
3,Lambac,2,Tomato,2021,wet,85.23,21.27,4.01,41.486666666666665,166.3615333333333
3,Lambac,2,Tomato,2021,dry,39.01,5.82,6.7,43.431666666666665,290.99216666666666
3,Lambac,3,Corn,2021,dry,27.08,5.69,4.76,23.206666666666667,110.46373333333332
3,Lambac,3,Corn,2021,wet,54.28,9.24,5.87,21.36,125.3832
3,Lambac,4,Onion,2021,dry,84.31,15.33,5.5,53.781666666666666,295.7991666666667
3,Lambac,4,Onion,2021,wet,32.19,8.78,3.67,47.675,174.96724999999998
3,Lambac,5,Eggplant,2021,dry,19.43,5.82,3.34,48.28333333333333,161.2663333333333
3,Lambac,5,Eggplant,2021,wet,23.63,7.3,3.24,34.14666666666667,110.63520000000001
4,Magsaysay,1,Rice,2021,wet,93.17,18.16,5.13,33.208333333333336,170.35875000000001
4,Magsaysay,1,Rice,2021,dry,51.11,10.15,5.04,29.886666666666667,150.6288
4,Magsaysay,2,Tomato,2021,dry,15.82,5.61,2.82,53.071666666666665,149.66209999999998
4,Magsaysay,2,Tomato,2021,wet,72.12,11.79,6.12,41.85333333333333,256.1424
4,Magsaysay,3,Corn,2021,dry,24.99,7.33,3.41,24.256666666666668,82.71523333333334
4,Magsaysay,3,Corn,2021,wet,98.92,18.94,5.22,20.195,105.4179
4,Magsaysay,4,Onion,2021,wet,71.53,19.12,3.74,47.776666666666664,178.68473333333333
4,Magsaysay,4,Onion,2021,dry,50.15,8.45,5.93,47.2,279.896
4,Magsaysay,5,Eggplant,2021,dry,91.29,17.19,5.31,35.92666666666667,190.7706
4,Magsaysay,5,Eggplant,2021,wet,18.77,4.39,4.28,52.73166666666667,225.69153333333335
5,Maquiapo,1,Rice,2021,dry,133.87,19.71,6.79,32.111666666666665,218.03821666666664
5,Maquiapo,1,Rice,2021,wet,91.7,15.44,5.94,28.105,166.9437
5,Maquiapo,2,Tomato,2021,dry,145.31,19.34,7.51,52.14666666666667,391.62146666666666
5,Maquiapo,2,Tomato,2021,wet,57.41,14.48,3.96,38.525,152.559
5,Maquiapo,3,Corn,2021,dry,42.13,7.5,5.62,24.526666666666667,137.83986666666667
5,Maquiapo,3,Corn,2021,wet,70.79,19.05,3.72,25.89,96.3108
5,Maquiapo,4,Onion,2021,dry,77.6,16.23,4.78,41.75,199.565
5,Maquiapo,4,Onion,2021,wet,23.48,4.77,4.92,41.42166666666667,203.7946
5,Maquiapo,5,Eggplant,2021,wet,76.32,19.29,3.96,33.99,134.6004
5,Maquiapo,5,Eggplant,2021,dry,58.16,10.0,5.82,46.63333333333333,271.406
6,Natividad,1,Rice,2021,dry,99.3,16.27,6.1,31.821666666666665,194.11216666666664
6,Natividad,1,Rice,2021,wet,71.61,17.75,4.03,27.656666666666666,111.45636666666667
6,Natividad,2,Tomato,2021,wet,79.46,15.27,5.2,38.305,199.186
6,Natividad,2,Tomato,2021,dry,29.49,5.94,4.96,47.90833333333333,237.62533333333332
6,Natividad,3,Corn,2021,wet,22.48,4.1,5.48,19.211666666666666,105.27993333333333
6,Natividad,3,Corn,2021,dry,15.87,3.81,4.17,23.763333333333332,99.09309999999999
6,Natividad,4,Onion,2021,wet,83.28,14.47,5.76,49.76166666666666,286.62719999999996
6,Natividad,4,Onion,2021,dry,37.94,5.96,6.37,50.94166666666667,324.4984166666667
6,Natividad,5,Eggplant,2021,dry,29.55,4.09,7.22,41.38333333333333,298.78766666666667
6,Natividad,5,Eggplant,2021,wet,24.39,7.35,3.32,50.715,168.37380000000002
7,Plaza Burgos (Pob.),1,Rice,2021,dry,37.13,5.91,6.28,23.386666666666667,146.86826666666667
7,Plaza Burgos (Pob.),1,Rice,2021,wet,96.33,18.31,5.26,28.891666666666666,151.97016666666664
7,Plaza Burgos (Pob.),2,Tomato,2021,wet,50.53,18.84,2.68,45.355,121.5514
7,Plaza Burgos (Pob.),2,Tomato,2021,dry,28.75,8.59,3.35,41.915,140.41525000000001
7,Plaza Burgos (Pob.),3,Corn,2021,wet,26.71,6.87,3.89,24.968333333333334,97.12681666666667
7,Plaza Burgos (Pob.),3,Corn,2021,dry,31.68,7.96,3.98,27.61,109.8878
7,Plaza Burgos (Pob.),4,Onion,2021,dry,28.24,3.86,7.32,48.928333333333335,358.15540000000004
7,Plaza Burgos (Pob.),4,Onion,2021,wet,17.08,5.78,2.96,40.13166666666667,118.78973333333333
7,Plaza Burgos (Pob.),5,Eggplant,2021,wet,139.06,17.93,7.76,42.87833333333333,332.73586666666665
7,Plaza Burgos (Pob.),5,Eggplant,2021,dry,112.98,14.67,7.7,42.47833333333333,327.08316666666667
8,Pulungmasle,1,Rice,2021,dry,65.64,9.2,7.13,24.721666666666668,176.26548333333335
8,Pulungmasle,1,Rice,2021,wet,94.0,11.88,7.91,27.456666666666667,217.18223333333333
8,Pulungmasle,2,Tomato,2021,dry,40.1,6.54,6.13,50.51833333333333,309.6773833333333
8,Pulungmasle,2,Tomato,2021,wet,80.0,17.39,4.6,47.57333333333333,218.8373333333333
8,Pulungmasle,3,Corn,2021,wet,32.44,8.48,3.83,22.888333333333332,87.66231666666667
8,Pulungmasle,3,Corn,2021,dry,71.13,13.64,5.21,26.561666666666667,138.38628333333332
8,Pulungmasle,4,Onion,2021,wet,25.39,5.57,4.56,41.93666666666667,191.2312
8,Pulungmasle,4,Onion,2021,dry,75.83,16.36,4.64,51.09,237.0576
8,Pulungmasle,5,Eggplant,2021,wet,30.53,4.75,6.43,51.14333333333333,328.8516333333333
8,Pulungmasle,5,Eggplant,2021,dry,91.47,21.27,4.3,43.90833333333333,188.8058333333333
9,Rizal,1,Rice,2021,dry,23.9,3.8,6.29,32.553333333333335,204.76046666666667
9,Rizal,1,Rice,2021,wet,118.81,20.58,5.77,31.851666666666667,183.78411666666665
9,Rizal,2,Tomato,2021,wet,41.66,16.05,2.6,33.08,86.008
9,Rizal,2,Tomato,2021,dry,48.76,8.23,5.92,42.39666666666667,250.98826666666668
9,Rizal,3,Corn,2021,dry,61.11,12.44,4.91,19.496666666666666,95.72863333333333
9,Rizal,3,Corn,2021,wet,24.13,6.17,3.91,20.75,81.13250000000001
9,Rizal,4,Onion,2021,wet,77.48,14.24,5.44,35.68333333333333,194.11733333333333
9,Rizal,4,Onion,2021,dry,37.9,7.27,5.21,51.053333333333335,265.98786666666666
9,Rizal,5,Eggplant,2021,dry,54.05,12.51,4.32,47.005,203.06160000000003
9,Rizal,5,Eggplant,2021,wet,36.37,11.62,3.13,38.855,121.61614999999999
10,San Agustin,1,Rice,2021,dry,27.17,4.38,6.2,29.63,183.706
10,San Agustin,1,Rice,2021,wet,49.35,8.02,6.15,28.575,175.73625
10,San Agustin,2,Tomato,2021,dry,24.92,5.53,4.51,37.66,169.84659999999997
10,San Agustin,2,Tomato,2021,wet,73.1,19.55,3.74,48.87833333333333,182.80496666666667
10,San Agustin,3,Corn,2021,wet,46.19,11.85,3.9,24.375,95.0625
10,San Agustin,3,Corn,2021,dry,68.89,18.15,3.8,23.83,90.55399999999999
10,San Agustin,4,Onion,2021,wet,63.8,10.65,5.99,52.88166666666667,316.76118333333335
10,San Agustin,4,Onion,2021,dry,84.64,13.09,6.47,34.54333333333334,223.49536666666668
10,San Agustin,5,Eggplant,2021,dry,83.74,19.8,4.23,37.67,159.34410000000003
10,San Agustin,5,Eggplant,2021,wet,39.11,13.77,2.84,39.79833333333333,113.02726666666666
11,San Antonio,1,Rice,2021,wet,23.8,3.71,6.42,31.60333333333333,202.89339999999999
11,San Antonio,1,Rice,2021,dry,65.06,11.5,5.66,32.358333333333334,183.14816666666667
11,San Antonio,2,Tomato,2021,wet,62.08,13.65,4.55,50.18,228.319
11,San Antonio,2,Tomato,2021,dry,64.67,21.01,3.08,39.755,122.4454
11,San Antonio,3,Corn,2021,dry,33.81,8.31,4.07,22.711666666666666,92.43648333333334
11,San Antonio,3,Corn,2021,wet,75.86,18.07,4.2,25.31833333333333,106.337
11,San Antonio,4,Onion,2021,wet,21.44,3.74,5.73,37.435,214.50255000000004
11,San Antonio,4,Onion,2021,dry,43.28,7.3,5.93,53.93666666666667,319.8444333333333
11,San Antonio,5,Eggplant,2021,dry,74.66,11.93,6.26,29.785,186.45409999999998
11,San Antonio,5,Eggplant,2021,wet,40.52,8.13,4.98,37.78333333333333,188.161
12,San Isidro,1,Rice,2021,dry,43.45,8.77,4.95,29.433333333333334,145.695
12,San Isidro,1,Rice,2021,wet,131.19,17.05,7.69,33.071666666666665,254.32111666666668
12,San Isidro,2,Tomato,2021,dry,24.81,4.71,5.27,45.111666666666665,237.7384833333333
12,San Isidro,2,Tomato,2021,wet,111.13,17.8,6.24,51.781666666666666,323.1176
12,San Isidro,3,Corn,2021,dry,59.86,12.8,4.68,21.761666666666667,101.8446
12,San Isidro,3,Corn,2021,wet,68.83,17.04,4.04,23.118333333333332,93.39806666666667
12,San Isidro,4,Onion,2021,dry,88.52,20.81,4.25,51.48166666666667,218.79708333333335
12,San Isidro,4,Onion,2021,wet,29.65,5.7,5.2,40.07666666666667,208.39866666666668
12,San Isidro,5,Eggplant,2021,dry,16.68,4.9,3.4,53.24166666666667,181.02166666666668
12,San Isidro,5,Eggplant,2021,wet,29.34,8.03,3.65,51.181666666666665,186.8130833333333
13,San Jose,1,Rice,2021,dry,93.73,20.44,4.59,32.19,147.75209999999998
13,San Jose,1,Rice,2021,wet,103.71,12.35,8.4,27.205,228.522
13,San Jose,2,Tomato,2021,wet,38.48,10.51,3.66,40.765,149.1999
13,San Jose,2,Tomato,2021,dry,34.09,12.69,2.69,52.446666666666665,141.08153333333334
13,San Jose,3,Corn,2021,wet,112.47,19.2,5.86,27.861666666666668,163.26936666666668
13,San Jose,3,Corn,2021,dry,65.39,14.0,4.67,22.465,104.91154999999999
13,San Jose,4,Onion,2021,wet,13.54,3.75,3.61,37.915,136.87314999999998
13,San Jose,4,Onion,2021,dry,36.98,8.62,4.29,47.645,204.39705
13,San Jose,5,Eggplant,2021,wet,47.34,9.61,4.93,40.015,197.27394999999999
13,San Jose,5,Eggplant,2021,dry,113.87,20.5,5.55,47.31333333333333,262.589
14,San Juan Bautista,1,Rice,2021,wet,90.41,12.33,7.33,25.968333333333334,190.34788333333333
14,San Juan Bautista,1,Rice,2021,dry,34.54,5.14,6.72,28.05,188.496
14,San Juan Bautista,2,Tomato,2021,wet,51.34,10.98,4.68,62.30166666666667,291.5718
14,San Juan Bautista,2,Tomato,2021,dry,65.0,11.2,5.8,31.578333333333333,183.15433333333334
14,San Juan Bautista,3,Corn,2021,wet,65.97,14.54,4.54,23.38,106.1452
14,San Juan Bautista,3,Corn,2021,dry,32.26,8.74,3.69,21.671666666666667,79.96845
14,San Juan Bautista,4,Onion,2021,dry,80.34,15.21,5.28,49.71333333333333,262.4864
14,San Juan Bautista,4,Onion,2021,wet,55.94,9.42,5.94,51.14833333333333,303.8211
14,San Juan Bautista,5,Eggplant,2021,dry,132.6,18.79,7.06,52.1,367.82599999999996
14,San Juan Bautista,5,Eggplant,2021,wet,66.68,16.78,3.97,54.13166666666667,214.9027166666667
15,San Juan Nepomuceno,1,Rice,2021,dry,101.07,13.3,7.6,30.706666666666667,233.37066666666666
15,San Juan Nepomuceno,1,Rice,2021,wet,104.68,21.56,4.86,35.35333333333333,171.8172
15,San Juan Nepomuceno,2,Tomato,2021,dry,82.38,15.63,5.27,48.86666666666667,257.52733333333333
15,San Juan Nepomuceno,2,Tomato,2021,wet,72.45,21.32,3.4,48.401666666666664,164.56566666666666
15,San Juan Nepomuceno,3,Corn,2021,wet,125.3,19.83,6.32,22.003333333333334,139.06106666666668
15,San Juan Nepomuceno,3,Corn,2021,dry,29.12,9.29,3.13,28.118333333333332,88.01038333333332
15,San Juan Nepomuceno,4,Onion,2021,wet,90.5,18.46,4.9,33.89,166.061
15,San Juan Nepomuceno,4,Onion,2021,dry,76.4,12.6,6.06,52.961666666666666,320.9477
15,San Juan Nepomuceno,5,Eggplant,2021,wet,49.1,8.43,5.82,45.42166666666667,264.3541
15,San Juan Nepomuceno,5,Eggplant,2021,dry,23.68,8.92,2.65,57.08,151.262
16,San Matias,1,Rice,2021,wet,23.3,4.2,5.55,28.871666666666666,160.23775
16,San Matias,1,Rice,2021,dry,39.7,7.68,5.17,36.80833333333333,190.2990833333333
16,San Matias,2,Tomato,2021,dry,70.72,16.49,4.29,51.625,221.47125
16,San Matias,2,Tomato,2021,wet,64.63,11.31,5.71,48.8,278.64799999999997
16,San Matias,3,Corn,2021,wet,95.2,17.84,5.34,26.123333333333335,139.4986
16,San Matias,3,Corn,2021,dry,68.3,10.15,6.73,20.12,135.4076
16,San Matias,4,Onion,2021,wet,104.73,19.2,5.45,53.39,290.9755
16,San Matias,4,Onion,2021,dry,84.71,14.36,5.9,32.233333333333334,190.17666666666668
16,San Matias,5,Eggplant,2021,wet,26.01,4.5,5.78,38.91833333333334,224.9479666666667
16,San Matias,5,Eggplant,2021,dry,57.0,17.07,3.34,45.84166666666667,153.11116666666666
17,San Miguel (Betis),1,Rice,2021,dry,112.08,17.85,6.28,31.503333333333334,197.84093333333334
17,San Miguel (Betis),1,Rice,2021,wet,45.04,7.96,5.66,27.066666666666666,153.19733333333335
17,San Miguel (Betis),2,Tomato,2021,dry,72.08,12.03,5.99,40.76,244.1524
17,San Miguel (Betis),2,Tomato,2021,wet,84.6,14.86,5.69,30.14,171.4966
17,San Miguel (Betis),3,Corn,2021,wet,31.7,8.42,3.76,23.376666666666665,87.89626666666666
17,San Miguel (Betis),3,Corn,2021,dry,133.25,21.22,6.28,21.9,137.532
17,San Miguel (Betis),4,Onion,2021,wet,29.66,4.88,6.08,43.285,263.1728
17,San Miguel (Betis),4,Onion,2021,dry,41.35,7.86,5.26,40.803333333333335,214.62553333333332
17,San Miguel (Betis),5,Eggplant,2021,wet,35.07,10.08,3.48,35.12166666666667,122.22340000000001
17,San Miguel (Betis),5,Eggplant,2021,dry,136.17,19.4,7.02,51.413333333333334,360.92159999999996
18,San Nicolas 1st,1,Rice,2021,dry,121.49,18.46,6.58,27.963333333333335,183.99873333333335
18,San Nicolas 1st,1,Rice,2021,wet,28.47,3.72,7.65,21.648333333333333,165.60975000000002
18,San Nicolas 1st,2,Tomato,2021,dry,63.37,8.82,7.18,45.195,324.5001
18,San Nicolas 1st,2,Tomato,2021,wet,109.55,21.87,5.01,42.985,215.35485
18,San Nicolas 1st,3,Corn,2021,wet,50.13,8.83,5.68,24.838333333333335,141.08173333333335
18,San Nicolas 1st,3,Corn,2021,dry,23.36,4.39,5.32,23.49,124.96679999999999
18,San Nicolas 1st,4,Onion,2021,wet,126.69,20.0,6.33,37.965,240.31845
18,San Nicolas 1st,4,Onion,2021,dry,57.36,15.2,3.77,41.586666666666666,156.78173333333334
18,San Nicolas 1st,5,Eggplant,2021,wet,110.53,15.71,7.04,50.015,352.1056
18,San Nicolas 1st,5,Eggplant,2021,dry,65.76,10.51,6.26,35.12833333333333,219.90336666666664
19,San Nicolas 2nd,1,Rice,2021,wet,91.65,20.8,4.41,30.246666666666666,133.3878
19,San Nicolas 2nd,1,Rice,2021,dry,77.15,14.8,5.21,30.441666666666666,158.60108333333332
19,San Nicolas 2nd,2,Tomato,2021,dry,92.13,16.04,5.74,41.971666666666664,240.91736666666665
19,San Nicolas 2nd,2,Tomato,2021,wet,82.05,15.09,5.44,38.645,210.22880000000004
19,San Nicolas 2nd,3,Corn,2021,wet,61.89,17.95,3.45,26.436666666666667,91.2065
19,San Nicolas 2nd,3,Corn,2021,dry,88.15,20.55,4.29,21.263333333333332,91.21969999999999
19,San Nicolas 2nd,4,Onion,2021,wet,38.87,8.69,4.47,40.64,181.6608
19,San Nicolas 2nd,4,Onion,2021,dry,18.22,6.93,2.63,34.85333333333333,91.66426666666666
19,San Nicolas 2nd,5,Eggplant,2021,dry,38.78,11.71,3.31,39.465,130.62915
19,San Nicolas 2nd,5,Eggplant,2021,wet,83.31,12.54,6.64,49.58833333333333,329.2665333333333
20,San Pablo,1,Rice,2021,dry,95.78,14.13,6.78,34.446666666666665,233.5484
20,San Pablo,1,Rice,2021,wet,72.09,12.34,5.84,30.628333333333334,178.86946666666665
20,San Pablo,2,Tomato,2021,dry,84.7,17.63,4.8,40.51,194.44799999999998
